YEAR,DOY,Hour,Kp index,R (Sunspot No.),"Dst-index, nT","ap_index, nT",f10.7_index
2020,1,0,3,6,-6,2,69.4
2020,1,1,3,6,0,2,69.4
2020,1,2,3,6,4,2,69.4
2020,1,3,0,6,6,0,69.4
2020,1,4,0,6,8,0,69.4
2020,1,5,0,6,11,0,69.4
2020,1,6,0,6,12,0,69.4
2020,1,7,0,6,9,0,69.4
2020,1,8,0,6,5,0,69.4
2020,1,9,7,6,2,3,69.4
2020,1,10,7,6,2,3,69.4
2020,1,11,7,6,4,3,69.4
2020,1,12,7,6,4,3,69.4
2020,1,13,7,6,3,3,69.4
2020,1,14,7,6,4,3,69.4
2020,1,15,13,6,3,5,69.4
2020,1,16,13,6,-1,5,69.4
2020,1,17,13,6,-2,5,69.4
2020,1,18,10,6,-1,4,69.4
2020,1,19,10,6,2,4,69.4
2020,1,20,10,6,5,4,69.4
2020,1,21,7,6,6,3,69.4
2020,1,22,7,6,5,3,69.4
2020,1,23,7,6,4,3,69.4
2020,2,0,0,12,2,0,69.5
2020,2,1,0,12,5,0,69.5
2020,2,2,0,12,8,0,69.5
2020,2,3,0,12,8,0,69.5
2020,2,4,0,12,9,0,69.5
2020,2,5,0,12,10,0,69.5
2020,2,6,3,12,10,2,69.5
2020,2,7,3,12,9,2,69.5
2020,2,8,3,12,7,2,69.5
2020,2,9,3,12,2,2,69.5
2020,2,10,3,12,-1,2,69.5
2020,2,11,3,12,1,2,69.5
2020,2,12,3,12,4,2,69.5
2020,2,13,3,12,2,2,69.5
2020,2,14,3,12,1,2,69.5
2020,2,15,7,12,0,3,69.5
2020,2,16,7,12,-3,3,69.5
2020,2,17,7,12,-3,3,69.5
2020,2,18,10,12,-4,4,69.5
2020,2,19,10,12,-2,4,69.5
2020,2,20,10,12,-1,4,69.5
2020,2,21,10,12,-3,4,69.5
2020,2,22,10,12,-3,4,69.5
2020,2,23,10,12,1,4,69.5
2020,3,0,7,13,6,3,68.9
2020,3,1,7,13,8,3,68.9
2020,3,2,7,13,10,3,68.9
2020,3,3,10,13,11,4,68.9
2020,3,4,10,13,14,4,68.9
2020,3,5,10,13,14,4,68.9
2020,3,6,27,13,6,12,68.9
2020,3,7,27,13,3,12,68.9
2020,3,8,27,13,-6,12,68.9
2020,3,9,20,13,-10,7,68.9
2020,3,10,20,13,-5,7,68.9
2020,3,11,20,13,1,7,68.9
2020,3,12,10,13,0,4,68.9
2020,3,13,10,13,-2,4,68.9
2020,3,14,10,13,-4,4,68.9
2020,3,15,7,13,-5,3,68.9
2020,3,16,7,13,-3,3,68.9
2020,3,17,7,13,-3,3,68.9
2020,3,18,3,13,-3,2,68.9
