dates,RMSE
2/20 4:00,42.778167724609375
2/20 5:00,51.323516845703125
2/20 6:00,23.837860107421875
2/20 7:00,7.79296875
2/20 8:00,5.108673095703125
2/20 9:00,26.06231689453125
2/20 10:00,9.865158081054688
2/20 11:00,0.9193572998046875
2/20 12:00,4.12872314453125
2/20 13:00,3.098175048828125
2/20 14:00,1.2371444702148438
2/20 15:00,8.29534912109375
2/20 16:00,2.2180404663085938
2/20 17:00,2.6244850158691406
2/20 18:00,7.315860748291016
2/20 19:00,12.07320785522461
2/20 20:00,2.1312408447265625
2/20 21:00,0.7361679077148438
2/20 22:00,4.427665710449219
2/20 23:00,16.47608184814453
2/21 0:00,11.224075317382812
2/21 1:00,19.692184448242188
2/21 2:00,55.25403594970703
2/21 3:00,55.62628173828125
2/21 4:00,6.390594482421875
2/21 5:00,15.90081787109375
2/21 6:00,10.29217529296875
2/21 7:00,36.834014892578125
2/21 8:00,34.27742004394531
2/21 9:00,20.8543701171875
2/21 10:00,14.893463134765625
2/21 11:00,25.99481201171875
2/21 12:00,37.75056457519531
2/21 13:00,7.5085906982421875
2/21 14:00,3.0002822875976562
2/21 15:00,8.505279541015625
2/21 16:00,9.025703430175781
2/21 17:00,0.7255401611328125
2/21 18:00,6.9297943115234375
2/21 19:00,8.997413635253906
2/21 20:00,3.9830245971679688
2/21 21:00,1.4861946105957031
2/21 22:00,5.597770690917969
2/21 23:00,20.431556701660156
2/22 0:00,17.361602783203125
2/22 1:00,25.4591064453125
2/22 2:00,40.11749267578125
2/22 3:00,37.25126647949219
2/22 4:00,44.80253601074219
2/22 5:00,11.172805786132812
2/22 6:00,34.1339111328125
2/22 7:00,45.0130615234375
2/22 8:00,36.37052917480469
2/22 9:00,31.449386596679688
2/22 10:00,1.4916229248046875
2/22 11:00,11.963081359863281
2/22 12:00,14.44390869140625
2/22 13:00,10.599174499511719
2/22 14:00,6.939720153808594
2/22 15:00,16.145309448242188
2/22 16:00,8.31072998046875
2/22 17:00,4.965400695800781
2/22 18:00,6.159111022949219
2/22 19:00,5.6387786865234375
2/22 20:00,6.1055145263671875
2/22 21:00,7.832771301269531
2/22 22:00,1.2689895629882812
2/22 23:00,26.44830322265625
2/23 0:00,33.019081115722656
2/23 1:00,52.98773193359375
2/23 2:00,71.01002502441406
2/23 3:00,45.1046142578125
2/23 4:00,52.72528076171875
2/23 5:00,29.388671875
2/23 6:00,33.97808837890625
2/23 7:00,13.649948120117188
2/23 8:00,22.627593994140625
2/23 9:00,35.48402404785156
2/23 10:00,30.125320434570312
2/23 11:00,29.172271728515625
2/23 12:00,18.976524353027344
2/23 13:00,16.19763946533203
2/23 14:00,3.4965438842773438
2/23 15:00,14.806427001953125
2/23 16:00,14.058212280273438
2/23 17:00,7.923454284667969
2/23 18:00,6.949516296386719
2/23 19:00,18.064369201660156
2/23 20:00,10.876335144042969
2/23 21:00,8.908493041992188
2/23 22:00,1.1648788452148438
2/23 23:00,20.461395263671875
2/24 0:00,22.58539581298828
2/24 1:00,51.151084899902344
2/24 2:00,83.23174285888672
2/24 3:00,33.47222900390625
2/24 4:00,11.544036865234375
2/24 5:00,10.671783447265625
2/24 6:00,35.38134765625
2/24 7:00,31.97125244140625
2/24 8:00,22.310394287109375
