dates,RMSE
01/01 00:00,37.69
01/01 01:00,26.79
01/01 02:00,10.92
01/01 03:00,18.36
01/01 04:00,25.42
01/01 05:00,15.43
01/01 06:00,7.61
01/01 07:00,0.28
01/01 08:00,9.19
01/01 09:00,0.31
01/01 10:00,4.54
01/01 11:00,8.88
01/01 12:00,0.29
01/01 13:00,2.87
01/01 14:00,6.29
01/01 15:00,0.33
01/01 16:00,1.88
01/01 17:00,1.87
01/01 18:00,3.22
01/01 19:00,0.9
01/01 20:00,2.88
01/01 21:00,1.45
01/01 22:00,2.07
01/01 23:00,8.33
01/02 00:00,3.75
01/02 01:00,5.8
01/02 02:00,6.57
01/02 03:00,8.63
01/02 04:00,2.56
01/02 05:00,2.28
01/02 06:00,4.73
01/02 07:00,1.31
01/02 08:00,10.66
01/02 09:00,0.13
01/02 10:00,7.4
01/02 11:00,7.37
01/02 12:00,4.85
01/02 13:00,0.01
01/02 14:00,5.97
01/02 15:00,2.46
01/02 16:00,4.4
01/02 17:00,2.05
01/02 18:00,2.09
01/02 19:00,4.6
01/02 20:00,4.75
01/02 21:00,2.78
01/02 22:00,1.94
01/02 23:00,13.54
01/03 00:00,0.33
01/03 01:00,6.69
01/03 02:00,10.01
01/03 03:00,3.88
01/03 04:00,1.48
01/03 05:00,6.81
01/03 06:00,5.62
01/03 07:00,3.96
01/03 08:00,0.88
01/03 09:00,3.93
01/03 10:00,6.5
01/03 11:00,2.92
01/03 12:00,5.11
01/03 13:00,1.74
01/03 14:00,0.86
01/03 15:00,3.38
01/03 16:00,2.39
01/03 17:00,4.43
01/03 18:00,1.58
01/03 19:00,1.88
01/03 20:00,5.2
01/03 21:00,3.03
01/03 22:00,1.6
01/03 23:00,8.69
01/04 00:00,12.98
01/04 01:00,12.33
01/04 02:00,11.34
01/04 03:00,20.19
01/04 04:00,4.66
01/04 05:00,2.69
01/04 06:00,7.68
01/04 07:00,2.9
01/04 08:00,10.07
01/04 09:00,9.37
01/04 10:00,5.26
01/04 11:00,12.88
01/04 12:00,9.94
01/04 13:00,4.88
01/04 14:00,0.8
01/04 15:00,7.4
01/04 16:00,7.3
01/04 17:00,3.09
01/04 18:00,2.66
01/04 19:00,1.88
01/04 20:00,2.07
01/04 21:00,0.6
01/04 22:00,6.1
01/04 23:00,0.89
01/05 00:00,11.26
01/05 01:00,0.18
01/05 02:00,24.57
01/05 03:00,36.55
01/05 04:00,7.24
01/05 05:00,21.73
01/05 06:00,4.26
01/05 07:00,14.59
01/05 08:00,1.98
01/05 09:00,9.53
01/05 10:00,21.43
01/05 11:00,9.25
01/05 12:00,4.51
01/05 13:00,2.27
01/05 14:00,3.2
01/05 15:00,2.92
01/05 16:00,2.19
01/05 17:00,0.48
01/05 18:00,6.51
01/05 19:00,1.15
01/05 20:00,2.48
01/05 21:00,2.68
01/05 22:00,0.81
01/05 23:00,0.43
01/06 00:00,5.07
01/06 01:00,0.78
01/06 02:00,5.07
01/06 03:00,3.23
01/06 04:00,16.0
01/06 05:00,15.72
01/06 06:00,0.47
01/06 07:00,0.01
01/06 08:00,8.92
01/06 09:00,20.17
01/06 10:00,17.22
01/06 11:00,0.16
01/06 12:00,0.34
01/06 13:00,8.0
01/06 14:00,5.33
01/06 15:00,1.28
01/06 16:00,1.56
01/06 17:00,1.11
01/06 18:00,1.8
01/06 19:00,7.55
01/06 20:00,4.45
01/06 21:00,3.31
01/06 22:00,5.67
01/06 23:00,9.81
01/07 00:00,0.95
01/07 01:00,3.85
01/07 02:00,5.54
01/07 03:00,20.9
01/07 04:00,29.95
01/07 05:00,33.42
01/07 06:00,20.71
01/07 07:00,19.32
01/07 08:00,19.72
01/07 09:00,17.16
01/07 10:00,11.89
01/07 11:00,0.45
01/07 12:00,1.0
01/07 13:00,6.2
01/07 14:00,3.27
01/07 15:00,2.27
01/07 16:00,4.66
01/07 17:00,7.0
01/07 18:00,1.47
01/07 19:00,7.52
01/07 20:00,7.34
01/07 21:00,6.2
01/07 22:00,5.25
01/07 23:00,13.49
01/08 00:00,3.33
01/08 01:00,0.31
01/08 02:00,9.15
01/08 03:00,11.56
01/08 04:00,15.22
01/08 05:00,14.84
01/08 06:00,3.46
01/08 07:00,3.47
01/08 08:00,9.48
01/08 09:00,0.46
01/08 10:00,6.69
01/08 11:00,0.64
01/08 12:00,4.3
01/08 13:00,9.46
01/08 14:00,1.91
01/08 15:00,1.55
01/08 16:00,2.76
01/08 17:00,5.7
01/08 18:00,7.42
01/08 19:00,8.81
01/08 20:00,4.27
01/08 21:00,4.37
01/08 22:00,5.7
01/08 23:00,10.59
01/09 00:00,9.96
01/09 01:00,11.82
01/09 02:00,26.92
01/09 03:00,11.76
01/09 04:00,6.12
01/09 05:00,4.28
01/09 06:00,9.8
01/09 07:00,12.95
01/09 08:00,3.99
01/09 09:00,11.12
01/09 10:00,3.95
01/09 11:00,9.61
01/09 12:00,6.85
01/09 13:00,5.83
01/09 14:00,4.64
01/09 15:00,0.16
01/09 16:00,2.0
01/09 17:00,1.29
01/09 18:00,4.82
01/09 19:00,1.83
01/09 20:00,1.04
01/09 21:00,10.03
01/09 22:00,0.01
01/09 23:00,1.93
01/10 00:00,5.65
01/10 01:00,7.41
01/10 02:00,21.77
01/10 03:00,6.0
01/10 04:00,12.12
01/10 05:00,6.4
01/10 06:00,17.17
01/10 07:00,19.54
01/10 08:00,5.39
01/10 09:00,16.19
01/10 10:00,11.65
01/10 11:00,8.91
01/10 12:00,1.96
01/10 13:00,2.06
01/10 14:00,0.29
01/10 15:00,0.28
01/10 16:00,2.44
01/10 17:00,2.35
01/10 18:00,2.12
01/10 19:00,4.38
01/10 20:00,1.5
01/10 21:00,7.86
01/10 22:00,0.66
01/10 23:00,12.65
01/11 00:00,0.8
01/11 01:00,4.13
01/11 02:00,4.81
01/11 03:00,6.6
01/11 04:00,10.09
01/11 05:00,36.14
01/11 06:00,20.12
01/11 07:00,1.81
01/11 08:00,22.27
01/11 09:00,12.84
01/11 10:00,0.38
01/11 11:00,6.19
01/11 12:00,4.23
01/11 13:00,1.72
01/11 14:00,0.72
01/11 15:00,5.42
01/11 16:00,4.08
01/11 17:00,0.15
01/11 18:00,0.77
01/11 19:00,0.13
01/11 20:00,3.33
01/11 21:00,1.71
01/11 22:00,3.52
01/11 23:00,5.1
01/12 00:00,1.06
01/12 01:00,4.63
01/12 02:00,10.0
01/12 03:00,8.56
01/12 04:00,21.79
01/12 05:00,30.12
01/12 06:00,5.5
01/12 07:00,2.31
01/12 08:00,12.13
01/12 09:00,13.04
01/12 10:00,6.07
01/12 11:00,1.45
01/12 12:00,3.12
01/12 13:00,12.15
01/12 14:00,9.45
01/12 15:00,6.05
01/12 16:00,4.45
01/12 17:00,3.25
01/12 18:00,3.23
01/12 19:00,1.64
01/12 20:00,0.67
01/12 21:00,0.86
01/12 22:00,1.38
01/12 23:00,2.71
01/13 00:00,15.14
01/13 01:00,15.58
01/13 02:00,3.74
01/13 03:00,3.79
01/13 04:00,6.91
01/13 05:00,16.13
01/13 06:00,8.0
01/13 07:00,6.96
01/13 08:00,4.05
01/13 09:00,18.93
01/13 10:00,14.37
01/13 11:00,8.91
01/13 12:00,5.75
01/13 13:00,2.29
01/13 14:00,11.53
01/13 15:00,9.96
01/13 16:00,4.53
01/13 17:00,4.26
01/13 18:00,3.84
01/13 19:00,3.85
01/13 20:00,6.2
01/13 21:00,3.12
01/13 22:00,2.88
01/13 23:00,3.16
01/14 00:00,11.39
01/14 01:00,4.31
01/14 02:00,7.72
01/14 03:00,3.66
01/14 04:00,6.46
01/14 05:00,10.5
01/14 06:00,6.07
01/14 07:00,16.42
01/14 08:00,19.91
01/14 09:00,13.57
01/14 10:00,3.21
01/14 11:00,1.93
01/14 12:00,4.97
01/14 13:00,3.5
01/14 14:00,9.33
01/14 15:00,5.13
01/14 16:00,5.76
01/14 17:00,2.54
01/14 18:00,2.51
01/14 19:00,3.19
01/14 20:00,2.32
01/14 21:00,3.7
01/14 22:00,5.11
01/14 23:00,0.89
01/15 00:00,22.88
01/15 01:00,9.72
01/15 02:00,3.32
01/15 03:00,12.22
01/15 04:00,3.43
01/15 05:00,21.05
01/15 06:00,5.3
01/15 07:00,5.19
01/15 08:00,30.71
01/15 09:00,21.63
01/15 10:00,3.38
01/15 11:00,4.03
01/15 12:00,0.4
01/15 13:00,1.63
01/15 14:00,6.69
01/15 15:00,2.28
01/15 16:00,0.98
01/15 17:00,6.53
01/15 18:00,2.25
01/15 19:00,3.11
01/15 20:00,2.85
01/15 21:00,2.15
01/15 22:00,3.49
